City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
538,Madison,US,34.73,-86.57,71.6,56,1,6.93,clear sky
539,Asau,RO,46.43,26.4,48.99,97,0,5.19,clear sky
540,Canatlan,MX,24.52,-104.78,61.84,75,60,6.6,broken clouds
541,Vodyane,UA,47.49,34.49,72.0,33,100,17.9,overcast clouds
542,Nanyuki,KE,0.02,37.07,58.66,75,17,2.33,few clouds
543,Muyuka,CM,4.29,9.41,75.2,100,75,2.24,broken clouds
544,Rantepao,ID,-2.97,119.9,84.07,47,52,5.37,broken clouds
545,Annau,TM,37.89,58.52,75.2,27,20,6.93,few clouds
546,Huayang,CN,34.42,109.99,72.37,48,100,1.54,overcast clouds
547,Bichura,RU,50.59,107.6,70.34,52,5,3.2,clear sky
548,Samarai,PG,-10.62,150.67,78.66,86,74,13.27,light rain
549,Suez,EG,29.97,32.53,77.43,84,0,12.73,clear sky
550,Sambava,MG,-14.27,50.17,68.9,69,6,8.9,clear sky
551,Camocim,BR,-2.9,-40.84,74.59,89,0,10.13,clear sky
552,Greenfield,US,42.96,-88.01,64.99,58,1,4.9,clear sky
553,Fonte Boa,BR,-2.5,-66.27,74.19,92,56,0.96,light rain
554,Iracoubo,GF,5.48,-53.2,78.66,84,1,9.46,clear sky
555,Kimbe,PG,-5.55,150.14,84.52,78,45,2.06,moderate rain
556,Porto Belo,BR,-27.16,-48.55,63.0,82,75,5.82,broken clouds
557,Portland,US,45.52,-122.68,73.4,60,20,8.05,smoke
558,Big Rapids,US,43.7,-85.48,59.0,77,40,3.36,scattered clouds
559,Berezovyy,RU,51.67,135.7,76.64,52,55,3.76,broken clouds
560,Bukama,CD,-9.2,25.85,69.96,28,47,3.0,scattered clouds
561,Arawa,PG,-6.21,155.54,83.39,76,4,4.79,moderate rain
562,Tigil,RU,57.8,158.67,57.0,45,99,4.63,overcast clouds
563,Gat,IL,31.61,34.76,82.99,82,0,3.78,clear sky
564,Garissa,KE,-0.45,39.64,75.36,68,74,15.46,broken clouds
565,Maningrida,AU,-12.07,134.27,86.4,47,0,12.93,clear sky
566,La Palma Del Condado,ES,37.39,-6.55,69.8,64,0,1.12,clear sky
567,Sept-Iles,CA,50.2,-66.38,42.8,100,20,7.74,few clouds
568,Belyy Yar,RU,53.6,91.39,59.0,44,68,11.18,broken clouds
569,Avigliana,IT,45.08,7.4,64.99,85,0,1.01,clear sky
570,Laramie,US,41.31,-105.59,62.01,31,1,9.17,clear sky
571,Lewistown,US,40.6,-77.57,66.2,52,1,9.17,clear sky
572,Isangel,VU,-19.55,169.27,75.2,64,75,9.17,broken clouds
573,High Level,CA,58.52,-117.14,51.8,100,75,4.59,broken clouds
574,Grand Forks,US,47.93,-97.03,55.4,76,20,6.93,few clouds
575,Midland,US,32.0,-102.08,82.4,45,1,9.17,clear sky
576,Zafra,ES,38.42,-6.42,70.0,40,0,7.0,clear sky
577,Vorotynets,RU,56.06,45.86,52.03,77,93,5.86,overcast clouds
578,Paita,PE,-5.09,-81.11,61.18,81,5,10.58,clear sky
579,Dhandhuka,IN,22.37,71.98,88.63,61,60,1.72,broken clouds
580,Tambovka,RU,50.1,128.05,64.4,77,75,20.13,broken clouds
581,Beringovskiy,RU,63.05,179.32,45.68,71,99,14.18,overcast clouds
582,Kumano,JP,34.34,132.59,84.2,70,75,4.7,moderate rain
583,Barreirinha,BR,-2.79,-57.07,78.01,54,3,3.2,clear sky
584,Gaya,IN,24.78,85.0,87.8,74,40,6.44,mist
585,Itarema,BR,-2.92,-39.92,77.47,80,0,17.11,clear sky
586,Kangaatsiaq,GL,68.31,-53.46,41.9,72,97,5.93,overcast clouds
587,Mangrol,IN,21.12,70.12,83.8,77,81,5.41,broken clouds
588,Yunguyo,PE,-16.25,-69.08,47.14,66,98,3.02,overcast clouds
589,Vestmannaeyjar,IS,63.44,-20.27,43.97,64,76,18.05,broken clouds
590,Auki,SB,-8.77,160.7,86.2,66,30,7.23,scattered clouds
591,San Carlos,VE,9.66,-68.58,73.89,93,42,1.99,scattered clouds
592,Boldu,RO,45.33,27.23,59.0,77,40,6.93,scattered clouds
593,Samana,DO,19.21,-69.34,77.41,88,100,5.93,light rain
594,Gigmoto,PH,13.78,124.39,89.31,62,89,5.26,overcast clouds
595,Sabzevar,IR,36.21,57.68,75.38,19,0,4.38,clear sky
596,Pingshan,CN,22.99,114.71,88.56,63,14,4.74,light rain
597,Shitanjing,CN,39.23,106.34,78.08,17,99,6.13,overcast clouds
598,Piney Green,US,34.72,-77.32,81.0,83,20,2.68,few clouds
599,Mvuma,ZW,-19.28,30.53,50.16,82,0,8.93,clear sky
600,High Rock,BS,26.62,-78.28,84.63,72,22,10.29,few clouds
601,Anandnagar,IN,27.1,83.28,88.21,67,68,1.57,light rain
602,Manta,EC,-0.95,-80.73,71.6,88,75,8.05,broken clouds
603,Shimoda,JP,34.67,138.95,86.0,79,20,12.75,few clouds
604,Garoua,CM,9.3,13.4,73.0,90,100,5.48,overcast clouds
605,Ko Samui,TH,9.54,99.94,93.2,59,20,2.24,few clouds
606,Chatellerault,FR,46.8,0.53,61.0,87,75,10.29,broken clouds
607,Jinotega,NI,13.09,-86.0,66.74,98,100,1.88,light rain
608,Estelle,US,29.85,-90.11,84.0,99,100,2.57,overcast clouds
609,Oistins,BB,13.07,-59.53,82.4,83,40,8.05,scattered clouds
610,Meulaboh,ID,4.14,96.13,85.33,66,100,8.3,overcast clouds
611,Bagn,NO,60.82,9.55,39.0,86,27,3.0,scattered clouds
612,Villarrobledo,ES,39.27,-2.6,62.01,69,0,1.99,clear sky
613,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,62.6,63,84,13.42,broken clouds
614,Gotsu,JP,35.0,132.22,78.8,83,90,4.7,light rain
615,Mattoon,US,39.48,-88.37,62.6,82,1,5.82,clear sky
616,Najran,SA,17.49,44.13,71.6,33,0,4.34,clear sky
617,Sao Felix Do Xingu,BR,-6.64,-51.99,72.25,43,9,1.36,clear sky
618,Chagoda,RU,59.16,35.33,56.75,98,100,4.56,moderate rain
619,Daryapur,IN,20.93,77.33,85.62,70,30,5.19,light rain
620,Faro,PT,37.02,-7.93,73.4,73,0,5.82,clear sky
621,Kamenka,RU,51.32,42.77,50.0,72,93,11.23,overcast clouds
622,Santa Cruz,BO,-17.8,-63.17,71.6,83,29,5.82,scattered clouds
